name,desc,tags,price,cicle,spec,new_spec,pay_type
微盛餐饮小程序,外卖，扫码点餐，无码点餐，预约排队 做自己专属的餐饮平台,外卖，餐饮，预约，扫码点餐，排队，打印小票,1000.0,-1,-1,-1,
微盛电商小程序,可视化多组件组合装修，手机端便捷管理，丰富的营销插件,电商,6000.0,-1,-1,-1,
店掌宝-门店商城系统 分销商城 社区团购小程序,行业门店营销系统社区团购系统解决方案、多门店自由扩展，社区周边用户智能定位，匹配附近门店，线上下单，线下核销自提，快递跑腿，上门预约，社区拼团，团长分佣系列玩法，真正赋能线下门店做好社区团购服务,电商，超市，零售，多门店，多商户，O2O，拼团，扫码买单，云开发,3900.0,-1,-1,-1,
微盛党建小程序,问卷调查、谈话谈心，实时记录,党建,200.0,-1,-1,-1,
企业官网智能建站（免费送推广）,耐思智慧为您提供企业官网搭建，覆盖PC网站+手机站+平板站+微站四大平台，无需代码，仅需拖拽，即可快速完成高质量网站，助您抢占PC端和移动端流量，系统每天自动为您写文章，维护网站，让更多客户通过搜索引擎找到您！,建站系统，企业网站，电商网站，模板建站,1200.0,-1,-1,-1,
法大大电子合同SaaS服务（企业版）,法大大是国内领先的电子合同与电子签名云服务商，为企业、政府机构及个人提供实名认证、证书签发、文件签署及校验、合同管理、印章管理、证据保全、公证出证、线上纠纷处置、法律咨询及律师服务，实现合同全生命周期的线上闭环。,,2998.0,-1,-1,-1,
微盛零售门店小程序,覆盖周边五公里，拓展销售渠道,零售，多门店,1000.0,-1,-1,-1,
SmartCare云运维管理服务,SmartCare云运维管理服务基于安畅十多年运维服务经验积累并依赖国际MSP标准衍生出来的运维服务产品，通过构建 “智能化平台+技术专家团队+服务管理体系”三位一体的服务能力，我们正在为用户自身基础架构业务、泛云计算管理等提供个性定制化的服务体验。,安全代维，监控告警，故障排除，运营成本优化，云资源管理,21000.0,-1,-1,-1,
微购儿5G租车小程序在线租车打车拼车包车机场接送小程序,微购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年5G租车微信小程序 无需下载触手可及安全可靠 助您降低开发成本 抓住潜在客户!核心功能：城际租车，包车，多人拼车，按天租车，预约购票，接机送机一应俱全9亿流量放肆瓜分 腾讯云服务架构更安全 快速上线租车业务不中断！,,3980.0,-1,-1,-1,
企业直播系统_教育直播_企业培训_活动直播,保利威云直播，致力为企业搭建稳定安全轻量化的直播平台。适用【在线教育】【企业培训】【空中课堂】【空中招聘会】【活动直播】【微信直播】等视频云场景，支持聊天互动、红包抽奖、随堂测试、安全监播、回放、专属定制、直播数据统计、二次开发等。,微信直播，企业直播，活动直播，教学直播，直播系统,4500.0,-1,-1,-1,
风平IP智造平台,基于AIGC的智能化IP打造平台，提供虚拟数字人定制、数字人直播和AI短视频内容生产、IP培育和交易的一站式解决方案。,,2980.0,-1,-1,-1,
【可待云-餐饮行业解决方案】智慧化解决餐饮行业难题,可待餐饮行业问题解决方案，预约取号，扫码取餐，门店管理，营销拓客……支持多商户连锁餐饮，更智能的解决餐饮行业难题。,定制APP，小程序定制，苹果APP，安卓APP，餐饮APP,3000.0,-1,-1,-1,
IT安全管理,"IT安全管理软件，包含QM质量管理、ACM全云管理、FinOps智慧财务等核心应用模块功能,为企业提供资产、费用、性能、事态等的智能化IT运维管理服务与解决方案，极大简化企业多云IT运维的复杂度和难度，全面提升云IT资源利用率和业务交付敏捷性。",,2980.0,-1,-1,-1,
销售云-SaaS版本,销售易销售云，帮助企业实现从线索、商机、报价到订单的全流程自动化、智能化闭环管理，让企业的销售目标制定更清晰、客户线索获取更高质、签单转化更快速、管理层决策更聪明，通过科学的销售实现业绩可规模化增长。,,1080.0,-1,-1,-1,
微盛·企业小程序,形象宣传  移动名片 全行适用,企业官网,3000.0,-1,-1,-1,
【K12教育培训-安卓APP管理系统】教育培训学校管理系统APP 培训学校教务管理 排课 老师管理 ,专业K12教育行业解决方案，为90%的中小教育培训行业提供线上课堂，直播一对一教学、教务管理、代理商管理、第三方合作机构管理等系统解决方案；连锁品牌培训机构快速自主复制拓展。,系统开发，定制APP，苹果APP，安卓APP，直播APP,500.0,-1,-1,-1,
【明星产品】建站之星营销网站,30G空间 ，五站合一，超64种营销推广工具,营销网站,12.0,-1,-1,-1,
网站环境配置,根据客户Web网站环境架构的设计要求进行安装部署，本产品提供Linux、Windows等系统软件环境搭建，支持PHP、ASP、JSP的网站支持环境。免费提供数据备份、主机监控、phpMyAdmin、FTP等服务。,,80.0,-1,-1,-1,
企业官网-商城营销套餐（送分站推广）,建站宝盒，只做有用的网站，打造企业/商家自有的电商平台，24h在线卖货。 支持支付宝、微信等支付方式，页面SEO智能优化收录快。专属会员系统，随时管理客户数据，提高运营效率。海量网站模板任意切换，一键安装套用。  咨询电话>>18928068270,企业网站，B2C商城，商城网站,3609.0,-1,-1,-1,
微购儿三级分销商城电商购物直播视频号小程序,微购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年。 核心功能：购物直播、网红直播购物、多商户入驻、商家手机管理后台、DIY首页装修设计三级分销拼团秒杀砍价、百度小程序、抖音头条小程序、支付宝小程序、微信小程序、微购儿小程序，无需代码 一键生成 瞬间拥有！,,1.0,-1,-1,-1,
