name,desc,tags,price,cicle,spec,new_spec,pay_type,desc_process,lof_label,labels
微购儿分销商城电商新零售购物直播小程序,"微购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年。 
核心功能：分销商城小程序、社区团购小程序、餐饮外卖小程序、美容预约小程序，商家入驻小程序、视频点播小程序、同城信息小程序、拼车租车打车小程序、知识付小程序、微购儿小程序 无需代码 一键生成 瞬间拥有！",,0.0,7天,特惠基础版+微信手机客服,特惠基础版+微信手机客服,2.0,绿色通道 购买 正式版 支持 免费 进行 微信 认证 节省  元年 核心 分销商 城 小程序 社区 团购 小程序 餐饮 外卖 小程序 美容 预约 小程序 商家 入驻 小程序 视频点播 小程序 城 信息 小程序 拼车 租车 打车 小程序 知识 付 小程序 小程序 无需 代码 一键 生成 瞬间 拥有,1,0
店掌宝-门店商城系统 分销商城 社区团购小程序,行业门店营销系统社区团购系统解决方案、多门店自由扩展，社区周边用户智能定位，匹配附近门店，线上下单，线下核销自提，快递跑腿，上门预约，社区拼团，团长分佣系列玩法，真正赋能线下门店做好社区团购服务,电商，超市，零售，多门店，多商户，O2O，拼团，扫码买单，云开发,0.0,7天,标准版,标准版,2.0,行业 门店 营销 系统 社区 团购 系统 解决方案 门店 自由 扩展 社区 周边 用户 智能 定位 匹配 附近 门店 线 单线 下 核销 自提 快递 跑腿 上门 预约 社区 拼 团团长 分佣 系列 玩法 真正 赋能 线下 门店 做好 社区 团购 服务,1,0
微盛电商小程序,可视化多组件组合装修，手机端便捷管理，丰富的营销插件,电商,312857.1429,7天,b1-高级版,b1-高级版,2.0,可视化 组件 组合 装修 手机 端 便捷 管理 丰富 营销 插件,1,0
微盛餐饮小程序,外卖，扫码点餐，无码点餐，预约排队 做自己专属的餐饮平台,外卖，餐饮，预约，扫码点餐，排队，打印小票,1000.0,1年,c4-增选1个门店,c4-增选1个门店,2.0,外卖 扫码 点餐 无码 点餐 预约 排队 做 专属 餐饮 平台,1,0
分销商城直播短视频带货系统社交视频号电商小程序,功能：三级分销、直播带货，多商家入驻，多门店，微信客服，手机版客服，秒杀，拼团，优惠券，积分、商品海报、在线预约、视频宝贝等，航网销冠小程序帮你轻松玩转微信社交电商，无需开发一键启用，DIY店铺模板，快速搭建小程序。,电商，超市，零售，多门店，多商户,52.14285714,7天,基础版,基础版,2.0,三级 分销 直播 带货多 商家 入驻 门店 微信 客服 手机 版 客服 秒杀 拼团 优惠券 积分 商品 海报 在线 预约 视频 宝贝 航网 销冠 小程序 帮 轻松 玩转 微信 社交 电商 无需 开发 一键 启用 DIY 店铺 模板 快速 搭建 小程序,1,0
身份证实名认证【天眼数聚】,【身份证实名认证-身份证实名接口-身份证实名核验】传入姓名、身份证号，校验此二要素是否一致，同时返回生日、性别、籍贯等信息。高质量接口，直连官方实时核验，毫秒级响应，零缓存，校验验证100%可靠。,,0.01,1年,1.00元/100次,0.01,0.0,身份证 实名 认证 身份证 实名 接口 身份证 实名 核验 传入 姓名 身份证号 校验 二要素 是否 一致 返回 生日 性别 籍贯 信息 高质量 接口 直连 官方 实时 核验 毫秒 响应 零 缓存 校验 验证  可靠,1,3
Windows 10 专业版 稳定版 V20H2（2023更新）中文64位 ,Windows 10 专业版 稳定版 V20H2 官方正式版于2020年10月正式首发，2022年12月更新，腾讯云漏洞扫描无安全漏洞，兼容服务器。,,0.0,-1,-1,-1,,Windows 专业版 稳定版 VH 官方 正式版  年  月 正式 首发  年  月 更新 腾讯 云 漏洞 扫描 无 安全漏洞 兼容 服务器,1,3
身份证实名认证,【身份证实名认证-身份证二要素实名认证】传入姓名、身份证号，校验是否一致，同时解析，省份、城市、性别。身份证实名认证接口主要应用在物流、金融、游戏防沉溺等政策要求注册用户身份证实名认证的场景中，产品别名也叫【身份证二要素、身份证实名认证、身份证实名认证接口、身份证实名认证api】,,0.01,1年,1.00元/100次,0.01,0.0,身份证 实名 认证 身份证 二要素 实名 认证 传入 姓名 身份证号 校验 是否 一致 解析 省份 城市 性别 身份证 实名 认证 接口 主要 应用 物流 金融 游戏 防 沉溺 政策 要求 注册 用户 身份证 实名 认证 场景 中 产品 别名 身份证 二要素 身份证 实名 认证 身份证 实名 认证 接口 身份证 实名 认证 api,1,0
【AbeeShop】超级商城深度的电商应用,AbeeShop超级商城构建平台，自主搭建·灵活定制·高效复用，从深度电商运营（超级商城）+精细化客户运营（SCRM），打造私域流量闭环，实现高复购广裂变，助力企业营收再创新高。实现数字化升级，提升员工绩效。,电商，H5营销，多商户，O2O，电商sass,100.0,1年,AbeeShop电商商城标准版（保姆设计版）,AbeeShop电商商城标准版（保姆设计版）,2.0,AbeeShop 超级 商城 构建 平台 自主 搭建 灵活 定制 高效 复用 深度 电商 运营 超级 商城 精细化 客户 运营 SCRM 打造 私域 流量 闭环 实现 高复 购广 裂变 助力 营收 再创新高 实现 数字化 升级 提升 员工 绩效,1,0
快启CRM,重新定义CRM，智能CRM系统,CRM，销售管理，客户管理，订单管理,4500.0,1年,20工号,20工号,2.0,重新 定义 CRM 智能 CRM 系统,1,0
