name,desc,tags,price,cicle,spec,new_spec,pay_type
微购儿分销商城电商新零售购物直播小程序,"微购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年。 
核心功能：分销商城小程序、社区团购小程序、餐饮外卖小程序、美容预约小程序，商家入驻小程序、视频点播小程序、同城信息小程序、拼车租车打车小程序、知识付小程序、微购儿小程序 无需代码 一键生成 瞬间拥有！",,0,7天,特惠基础版+微信手机客服,特惠基础版+微信手机客服,2
微购儿美妆分销商城零售能源直播小程序,微购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年。 核心功能：分销商城小程序、社区团购小程序、餐饮外卖小程序、美容预约小程序，商家入驻小程序、视频点播小程序、同城信息小程序、拼车租车打车小程序、知识付小程序、微购儿小程序 无需代码 一键生成 瞬间拥有！,,52.14285714,7天,基础版,基础版,2
店掌宝-门店商城系统 分销商城 社区团购小程序,行业门店营销系统社区团购系统解决方案、多门店自由扩展，社区周边用户智能定位，匹配附近门店，线上下单，线下核销自提，快递跑腿，上门预约，社区拼团，团长分佣系列玩法，真正赋能线下门店做好社区团购服务,电商，超市，零售，多门店，多商户，O2O，拼团，扫码买单，云开发,0,7天,标准版,标准版,2
微盛电商小程序,可视化多组件组合装修，手机端便捷管理，丰富的营销插件,电商,312857.1429,7天,b1-高级版,b1-高级版,2
微盛餐饮小程序,外卖，扫码点餐，无码点餐，预约排队 做自己专属的餐饮平台,外卖，餐饮，预约，扫码点餐，排队，打印小票,1000,1年,c4-增选1个门店,c4-增选1个门店,2
分销商城直播短视频带货系统社交视频号电商小程序,功能：三级分销、直播带货，多商家入驻，多门店，微信客服，手机版客服，秒杀，拼团，优惠券，积分、商品海报、在线预约、视频宝贝等，航网销冠小程序帮你轻松玩转微信社交电商，无需开发一键启用，DIY店铺模板，快速搭建小程序。,电商，超市，零售，多门店，多商户,52.14285714,7天,基础版,基础版,2
身份证实名认证【天眼数聚】,【身份证实名认证-身份证实名接口-身份证实名核验】传入姓名、身份证号，校验此二要素是否一致，同时返回生日、性别、籍贯等信息。高质量接口，直连官方实时核验，毫秒级响应，零缓存，校验验证100%可靠。,,0.01,1年,1.00元/100次,0.01,0
Windows 10 专业版 稳定版 V20H2（2023更新）中文64位 ,Windows 10 专业版 稳定版 V20H2 官方正式版于2020年10月正式首发，2022年12月更新，腾讯云漏洞扫描无安全漏洞，兼容服务器。,,0,-1,-1,-1,
身份证实名认证,【身份证实名认证-身份证二要素实名认证】传入姓名、身份证号，校验是否一致，同时解析，省份、城市、性别。身份证实名认证接口主要应用在物流、金融、游戏防沉溺等政策要求注册用户身份证实名认证的场景中，产品别名也叫【身份证二要素、身份证实名认证、身份证实名认证接口、身份证实名认证api】,,0.01,1年,1.00元/100次,0.01,0
【AbeeShop】超级商城深度的电商应用,AbeeShop超级商城构建平台，自主搭建·灵活定制·高效复用，从深度电商运营（超级商城）+精细化客户运营（SCRM），打造私域流量闭环，实现高复购广裂变，助力企业营收再创新高。实现数字化升级，提升员工绩效。,电商，H5营销，多商户，O2O，电商sass,100,1年,AbeeShop电商商城标准版（保姆设计版）,AbeeShop电商商城标准版（保姆设计版）,2
快启CRM,重新定义CRM，智能CRM系统,CRM，销售管理，客户管理，订单管理,4500,1年,20工号,20工号,2
微购儿美容美妆预约小程序家政上门服务,微购儿美容美妆小程序是一款针对美容整形、美甲预约、化妆品销售、宠物店、家政服务等多行业的线上服务平台，商家可通过小程序发布服务信息、产品信息，利用小程序中的营销插件进行引流获客，提升销售业绩。用户可通过小程序下单商品、预约服务，一键导航到店。,,0,7天,营销版,营销版,2
企业官网智能建站（免费送推广）,耐思智慧为您提供企业官网搭建，覆盖PC网站+手机站+平板站+微站四大平台，无需代码，仅需拖拽，即可快速完成高质量网站，助您抢占PC端和移动端流量，系统每天自动为您写文章，维护网站，让更多客户通过搜索引擎找到您！,建站系统，企业网站，电商网站，模板建站,1200,1年,营销商城套餐（新增中国香港节点）,营销商城套餐（新增中国香港节点）,2
微盛党建小程序,问卷调查、谈话谈心，实时记录,党建,10428.57143,7天,f4-标准版,f4-标准版,2
